TALLY_ENTRY_ID,RECON_INST,TRANS_PRODUCT_CODE,TRANS_EVENT_CODE,DIRECTION,IS_AUTO_OPEN,EXT_PROPERTY,ACCOUNT_TYPE,OPERATOR,MEMO,GMT_CREATE,GMT_MODIFIED
"00000008","3008","070010470002","01003","C","F",,"INNERTRANS","system","充值不过余额-转账到账户、转账到卡、个人版纯充值-充值到渠道过渡户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000009","3008","070010470006","01003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购-充值到渠道过渡户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000011","3008","060070020000","07002","D","F",,"INNERTRANS","system","充值不过余额-转账到账户、转账到卡、个人版纯充值-正常支付渠道过渡户转出","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000012","3008","060070060000","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购-正常支付渠道过渡户转出","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000014","3008","070010470002","01014","D","F",,"INNERTRANS","system","充值不过余额-充值业务-撤销到卡","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000015","3008","070010470006","01014","D","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购业务-撤销到卡","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000017","3008","070010470002","07002","D","F",,"INNERTRANS","system","充值不过余额-充值业务-撤销到余额","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000018","3008","070010470006","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购业务-撤销到余额","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000020","3008","060070020000","07003","C","F",,"INNERTRANS","system","充值不过余额-转账到账户、转账到卡、个人版纯充值-退款转入退款过渡户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000021","3008","060070060000","07003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购-退款转入退款过渡户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000023","3008","070030470002","07004","D","F",,"INNERTRANS","system","充值不过余额-转账到账户、转账到卡、个人版纯充值-充退资金原路退回","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000024","3008","070030470006","07004","D","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购-充退资金原路退回","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000026","3008","070030470002","07002","D","F",,"INNERTRANS","system","充值不过余额-转账到账户、转账到卡、个人版纯充值-充退退回用户支付宝账户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000027","3008","070030470006","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-余额宝申购-充退退回用户支付宝账户","2016-03-07 14:08:38","2016-03-07 14:08:38"
"00000028","3008","070010470001","01003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-消费业务-充值转入渠道过渡户","2016-03-13 05:44:32","2016-03-13 05:44:32"
"00000029","3008","060070010000","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-消费业务-支付从渠道过渡户转出","2016-03-13 05:44:32","2016-03-13 05:44:32"
"00000030","3008","070010470001","01014","D","F",,"INNERTRANS","SYSTEM","充值不过余额-消费业务-撤销资金原路退回渠道过渡户转出","2016-03-13 05:44:32","2016-03-13 05:44:32"
"00000031","3008","070010470001","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-消费业务-撤销退回到用户支付宝账户渠道过渡户转出","2016-03-13 05:44:32","2016-03-13 05:44:32"
"00000032","3008","060070010000","07003","C","F",,"INNERTRANS","system","充值不过余额-消费业务-退款转入退款过渡户","2016-03-13 05:44:34","2016-03-13 05:44:34"
"00000033","3008","070030470001","07004","D","F",,"INNERTRANS","system","充值不过余额-消费业务-退款充退资金原路退回","2016-03-13 05:44:34","2016-03-13 05:44:34"
"00000034","3008","070030470001","07002","D","F",,"INNERTRANS","system","充值不过余额-消费业务-退款充退退回用户支付宝账户","2016-03-13 05:44:34","2016-03-13 05:44:34"
"00000035","3008","070010470003","01003","C","F",,"INNERTRANS","system","充值不过余额-保险业务-充值到渠道过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000036","3008","070010470004","01003","C","F",,"INNERTRANS","system","充值不过余额-投资理财业务-充值到渠道过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000037","3008","070010470005","01003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-贷款融资业务-充值到渠道过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000038","3008","070010470007","01003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-花呗还贷业务-充值到渠道过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000039","3008","070010470008","01003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-其他业务-充值到渠道过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000040","3008","060070030000","07002","D","F",,"INNERTRANS","system","充值不过余额-保险业务-正常支付渠道过渡户转出","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000041","3008","060070040000","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-投资理财业务-正常支付渠道过渡户转出","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000042","3008","060070050000","07002","D","F",,"INNERTRANS","system","充值不过余额-贷款融资业务-正常支付渠道过渡户转出","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000043","3008","060070070000","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-花呗还贷业务-正常支付渠道过渡户转出","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000044","3008","060070080000","07002","D","F",,"INNERTRANS","system","充值不过余额-其他业务-正常支付渠道过渡户转出","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000045","3008","070010470003","01014","D","F",,"INNERTRANS","system","充值不过余额-保险业务-撤销到卡","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000046","3008","070010470004","01014","D","F",,"INNERTRANS","SYSTEM","充值不过余额-投资理财业务-撤销到卡","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000047","3008","070010470005","01014","D","F",,"INNERTRANS","system","充值不过余额-贷款融资业务-撤销到卡","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000048","3008","070010470007","01014","D","F",,"INNERTRANS","SYSTEM","充值不过余额-花呗还贷业务-撤销到卡","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000049","3008","070010470008","01014","D","F",,"INNERTRANS","SYSTEM","充值不过余额-其他业务-撤销到卡","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000050","3008","070010470003","07002","D","F",,"INNERTRANS","system","充值不过余额-保险业务-撤销到户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000051","3008","070010470004","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-投资理财业务-撤销到户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000052","3008","070010470005","07002","D","F",,"INNERTRANS","system","充值不过余额-贷款融资业务-撤销到户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000053","3008","070010470007","07002","D","F",,"INNERTRANS","SYSTEM","充值不过余额-花呗还贷业务-撤销到户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000054","3008","070010470008","07002","D","F",,"INNERTRANS","system","充值不过余额-其他业务-撤销到户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000055","3008","060070030000","07003","C","F",,"INNERTRANS","system","充值不过余额-保险业务-退款转入退款过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000056","3008","060070040000","07003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-投资理财业务-退款转入退款过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000057","3008","060070050000","07003","C","F",,"INNERTRANS","system","充值不过余额-贷款融资业务-退款转入退款过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000058","3008","060070070000","07003","C","F",,"INNERTRANS","SYSTEM","充值不过余额-花呗还贷业务-退款转入退款过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000059","3008","060070080000","07003","C","F",,"INNERTRANS","system","充值不过余额-其他业务-退款转入退款过渡户","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000060","3008","070030470003","07004","D","F",,"INNERTRANS","system","充值不过余额-保险业务-充退资金原路退回","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000061","3008","070030470004","07004","D","F",,"INNERTRANS","SYSTEM","充值不过余额-投资理财业务-充退资金原路退回","2016-04-11 22:15:07","2016-04-11 22:15:07"
"00000062","3008","070030470005","07004","D","F",,"INNERTRANS","system","充值不过余额-贷款融资业务-充退资金原路退回","2016-04-11 22:15:07","2016-04-11 22:15:07"
